Sequence|IMSI|IMEI|Usage Type|MSISDN|Call date|Call time|Duration(sec)|Bytes Rx|Bytes Tx|2nd Party IMSI|2nd Party MSISDN
0|425034077146989|13-93732-0050646|MOC|9720337418673|2020-11-01|20:04:22.492921|1171|0|0|425034784099853|9720508356329
1|425150231467518|56-89107-4879616|SMS-MT|9720301709488|2020-11-01|20:04:22.496957|0|0|0|425157002953493|9720239336258
2|424038936205189|06-76933-9496002|SMS-MT|9710571461890|2020-11-01|20:04:22.500348|0|0|0|424030834639579|9710705863107
3|424028198155273|20-36621-2217721|MTC|9710758164697|2020-11-01|20:04:22.502478|440|0|0|424027725003936|9710401248366
4|425164747588824|25-81320-5145250|MTC|9720146387020|2020-11-01|20:04:22.508274|1154|0|0|425166050231257|9720436754732
5|424028198155273|20-36621-2217721|D|9710758164697|2020-11-01|20:04:22.515255|0|7838914|337648||
6|425143336669994|44-00235-5781109|SMS-MT|9720162924597|2020-11-01|20:04:22.520606|0|0|0|425146972704010|9720334168867
7|425074441937156|59-78878-2098330|SMS-MT|9720560173753|2020-11-01|20:04:22.524180|0|0|0|425078686409846|9720935116373
8|425063034087330|03-04705-7973096|MTC|9700972298548|2020-11-01|20:04:22.528897|794|0|0|425068245225257|9700841792867
9|425089254637063|87-97521-6498214|MTC|9720278566738|2020-11-01|20:04:22.535612|624|0|0|425082731261063|9720799849748
10|425016955894138|85-78652-2565997|SMS-MT|9720971802631|2020-11-01|20:04:22.540351|0|0|0|425012818324345|9720435634111
11|425167638024416|34-69985-7850475|SMS-MT|9720985385430|2020-11-01|20:04:22.542881|0|0|0|425166271547768|9720234187373
12|425192836703825|39-93071-6139141|D|9720106352423|2020-11-01|20:04:22.549924|0|4383059|191763||
13|425191443388569|30-96405-2484494|MTC|9720469996160|2020-11-01|20:04:22.555229|575|0|0|425192318130828|9720451485148
14|425028347731177|75-57205-9850305|MTC|9720476382235|2020-11-01|20:04:22.558770|565|0|0|425024368897026|9720859757097
15|425058160478251|81-63052-8192828|D|9700781880249|2020-11-01|20:04:22.561577|0|10393338|57236||
16|425022436007037|71-60900-9309531|SMS-MT|9720860651566|2020-11-01|20:04:22.564687|0|0|0|425028347731177|9720476382235
17|425036148099186|79-21249-0624230|D|9720611199137|2020-11-01|20:04:22.570236|0|3945631|176752||
18|425148175116460|69-70918-6634669|SMS-MT|9720778496622|2020-11-01|20:04:22.575225|0|0|0|425149354620274|9720173744552
19|425034784099853|99-64127-7007409|D|9720508356329|2020-11-01|20:04:22.582107|0|1454850|156960||
20|425054351665377|07-61852-2300156|MTC|9700759660725|2020-11-01|20:04:22.588436|370|0|0|425058160478251|9700781880249
21|425151050410217|68-80914-8375006|D|9720693765857|2020-11-01|20:04:22.591671|0|5183875|191700||
22|425143296729609|37-46111-3418837|D|9720271021074|2020-11-01|20:04:22.597572|0|2067939|405402||
23|425026198005714|22-13160-2767396|MOC|9720075616501|2020-11-01|20:04:22.599916|1170|0|0|425028116409489|9720610261583
24|425160412558399|08-91208-1431650|D|9720510939498|2020-11-01|20:04:22.602548|0|1442798|340117||
25|425019947750163|43-83571-7171527|MTC|9720292989845|2020-11-01|20:04:22.606439|138|0|0|425017093928389|9720668244274
